,Name,Sex,Equipment,Age,BodyweightKg,BestSquatKg,BestDeadliftKg,BestBenchKg
380,Rangimaria Brightwater-Wharf,F,Single-ply,55.5,60.7,130.0,160.0,85.0
382,Hollly Sullivan,F,Raw,37.0,88.8,85.0,117.5,40.0
383,Amanda Brothers,F,Raw,26.0,59.1,95.0,120.0,60.0
385,Christy James,F,Raw,40.0,86.0,117.5,170.0,60.0
387,Cassandra Pullins,F,Raw,35.5,83.9,132.5,142.5,72.5
388,Katie Ford,F,Single-ply,19.0,74.25,152.5,165.0,95.0
397,Jennifer Morrow,F,Raw,28.0,61.3,52.5,82.5,42.5
399,Marie Metcalf,F,Raw,69.0,87.5,95.0,117.5,52.5
400,Kieu Nguyen,F,Raw,22.0,51.2,82.5,140.0,45.0
403,Dulce Pinell,F,Raw,34.0,58.95,92.5,102.5,45.0
411,Shontelle Hellyer,F,Raw,29.5,82.48,155.0,162.5,80.0
413,Stephanie Wood,F,Wraps,33.0,72.21,92.99,102.06,56.7
418,Betsy Spann,F,Single-ply,57.0,71.49,125.0,145.0,75.5
425,Anne Geser,F,Raw,64.0,59.0,50.0,90.0,30.0
432,Anastasiia Nakonechna,F,Single-ply,21.5,51.92,145.0,140.0,75.0
433,Celeste Vallejo,F,Raw,22.0,53.21,70.0,105.0,52.5
434,Elizabeth Turner,F,Raw,20.5,70.14,137.5,152.5,80.0
435,Kasey Pagani,F,Raw,23.0,67.1,107.5,137.5,62.5
444,Ann Vanderbush,F,Raw,30.0,87.5,187.5,227.5,115.0
446,Rachael Johnson,F,Raw,22.0,62.4,95.0,145.0,55.0
451,Samantha Kroll,F,Single-ply,17.5,60.15,162.5,150.0,102.5
458,Victoria Nester,F,Raw,31.0,86.9,127.5,160.0,82.5
459,Lindsey Weber,F,Wraps,41.0,58.35,100.0,155.0,77.5
460,Melanie Bergeron,F,Raw,37.0,59.5,82.5,137.5,72.5
461,Jennifer Higgins,F,Raw,42.0,58.69,120.0,145.0,60.0
463,Coline Sirman,F,Raw,26.5,46.62,82.5,115.0,60.0
464,Nicole Drane,F,Single-ply,23.0,57.05,92.5,117.5,60.0
467,Amanda Kohatsu,F,Raw,31.0,67.4,170.0,192.5,92.5
469,Mia Bennett,F,Raw,20.5,79.2,120.0,125.0,60.0
470,Carys Cook,F,Raw,18.0,73.8,87.5,100.0,47.5
476,Ayla Thurstan,F,Raw,18.5,71.23,142.5,157.5,95.0
490,Brooke Kelley,F,Raw,19.5,47.33,80.0,87.5,40.0
492,Shealinna Ge,F,Raw,26.0,63.7,137.5,132.5,60.0
494,Carla Fink,F,Wraps,28.0,55.4,130.0,147.5,67.5
495,Einasleigh Doughty,F,Raw,23.5,80.76,120.0,140.0,70.0
499,Josephine Darpolor,F,Raw,23.5,118.5,197.5,210.0,110.0
503,Renay Ferguson,F,Raw,34.5,92.4,100.0,135.0,62.5
504,Sarah Yovetich,F,Raw,23.0,74.1,127.5,165.0,77.5
511,Katherine Cruceta,F,Raw,31.0,76.5,120.0,150.0,75.0
515,Evangeline Mouratidis,F,Raw,21.5,71.35,140.0,160.0,70.0
517,April Ghiroli,F,Raw,27.5,79.0,132.5,175.0,77.5
523,Suzanne Motsinger,F,Raw,44.0,65.4,82.5,112.5,55.0
528,Jac Quarisa,F,Wraps,29.0,59.7,155.0,170.0,70.0
534,Cynthia Mercado,F,Raw,22.0,50.8,82.5,127.5,45.0
537,Texana Holmes,F,Raw,24.0,67.22,105.0,140.0,55.0
540,Evie Johnston,F,Raw,20.5,80.45,100.0,110.0,50.0
541,Jessica Slivinski,F,Raw,24.0,59.15,82.5,112.5,47.5
544,Alivia Nuzzo,F,Raw,29.5,62.1,75.0,150.0,52.5
545,Lisa Voss,F,Single-ply,50.0,96.8,75.0,140.0,62.5
546,Anastasiia Minaeva,F,Raw,16.5,86.23,130.0,135.0,70.0
547,Alyssa Daniels,F,Wraps,27.0,58.51,117.93,136.08,63.5
548,Alison Booker,F,Wraps,28.0,59.6,125.0,130.0,80.0
550,Regina White,F,Single-ply,41.5,92.54,190.0,182.5,105.0
552,Elizabeth DeMunck,F,Single-ply,17.5,54.57,142.9,133.8,45.4
554,Marina Alexia Alaniz,F,Single-ply,14.0,51.98,70.0,92.5,42.5
558,Natalia Salnikova,F,Single-ply,28.5,51.5,206.0,175.0,132.5
561,Ashley Hohensee,F,Raw,26.5,94.2,142.5,172.5,70.0
562,Joan Mann,F,Raw,72.0,74.0,52.5,100.0,35.0
569,Molly Woodson,F,Raw,26.5,74.2,107.5,152.5,62.5
570,Erin Sendejaz,F,Raw,29.0,55.1,97.5,135.0,47.5
574,Barb Welp,F,Wraps,46.0,79.83,97.5,127.5,50.0
576,Amy Milbourn,F,Raw,29.0,66.12,60.0,92.5,40.0
577,Kathlen Heylman,F,Raw,20.0,53.3,92.5,115.0,42.5
582,Amber Pauley,F,Raw,38.0,101.7,145.0,132.5,77.5
583,Natalie Johnson,F,Raw,27.0,55.88,75.0,110.0,52.5
586,Gerri Howlet,F,Raw,61.5,66.6,85.0,125.0,47.5
592,Sarah Bohlen,F,Single-ply,46.5,71.53,147.5,165.0,57.5
598,Rachel Kiefer,F,Raw,32.5,65.3,120.0,145.0,70.0
602,Chrystn Pitt,F,Raw,37.5,74.0,127.5,157.5,70.0
605,Carly Salazar,F,Raw,20.5,67.6,100.0,100.0,42.5
606,Princess Lynch,F,Raw,41.0,72.0,132.5,150.0,82.5
608,Terri Specht,F,Raw,49.0,62.2,87.5,113.0,55.5
609,Lena Miller,F,Raw,28.0,78.6,82.5,95.0,42.5
611,Jessica Liubicich,F,Wraps,29.0,96.1,197.5,187.5,100.0
612,Leah Russell,F,Single-ply,36.0,65.41,136.08,149.69,81.65
616,Maggie Morgan,F,Raw,22.5,62.34,120.0,150.0,70.0
617,Allie Feras,F,Raw,28.5,62.67,140.0,162.5,80.0
621,Brittany Flores,F,Raw,21.0,59.87,130.0,165.0,82.5
623,Jessica Reynolds,F,Raw,16.5,62.8,102.5,110.0,57.5
626,Doreen Matecki,F,Raw,50.0,82.1,75.0,102.5,62.5
629,Gabriella Templer,F,Raw,22.5,61.5,95.0,150.0,52.5
630,Anna Hourihane,F,Raw,22.5,50.3,110.0,140.0,70.0
632,Michelle Machado,F,Raw,26.0,67.1,97.5,130.0,52.5
636,Valerie Baker,F,Single-ply,18.0,70.76,100.0,122.5,72.5
638,Charissa Vallesteros,F,Raw,20.0,55.6,92.5,125.0,45.0
647,Michelle Mullennix,F,Raw,22.0,72.7,145.0,165.0,87.5
649,Winnie Abramson,F,Raw,47.5,50.5,105.0,125.0,57.5
653,Larissa Arnold,F,Raw,29.0,64.86,82.5,117.5,47.5
654,April Lucker,F,Raw,38.5,71.35,93.0,111.1,43.1
655,Miranda Blythe,F,Raw,37.5,70.85,110.0,117.5,55.0
658,Anastasiya Kiseleva,F,Wraps,23.0,55.5,110.0,100.0,60.0
662,Christina Polatajko,F,Raw,28.5,70.0,100.0,165.0,55.0
663,Elia Goffi,F,Raw,19.5,71.3,110.0,135.0,62.5
664,Sheryl Condon,F,Raw,40.0,70.9,132.5,162.5,75.0
665,Dayna McNeal,F,Raw,32.5,80.3,170.0,215.0,95.0
668,Natalie Leonard,F,Raw,24.0,73.84,110.0,137.5,70.0
669,Diane Richard,F,Single-ply,36.5,54.84,127.5,130.0,75.0
671,Mia Schepis,F,Raw,21.5,71.7,132.5,160.0,70.0
678,Chyna Howlett,F,Raw,21.5,51.95,100.0,110.0,62.5
682,Bridget McDermott,F,Wraps,32.0,79.6,155.0,155.0,82.5
689,Michelle Ventaloro,F,Raw,26.0,65.0,150.0,160.0,82.5
690,Jessica Giannina,F,Raw,25.0,71.1,117.5,152.5,60.0
691,Cayte Bona,F,Single-ply,25.0,66.4,140.0,162.5,117.5
692,Jessica Kratz,F,Single-ply,41.0,59.6,150.0,185.0,110.0
696,Madeline Martinez,F,Raw,28.5,71.53,122.5,132.5,67.5
697,Rebecca Myers,F,Raw,23.0,81.88,130.0,137.5,77.5
698,Majken Hansen,F,Single-ply,19.5,71.0,200.0,172.5,105.0
702,Brittany Halili,F,Raw,28.0,55.4,107.5,107.5,65.0
707,Jacqueline Spellman,F,Raw,38.0,57.2,65.0,85.0,40.0
708,Alyssa Kuveke,F,Raw,20.0,55.97,90.0,130.0,52.5
709,Bree Crum,F,Wraps,26.0,73.4,80.0,115.0,55.0
710,Kelsey Morgan,F,Raw,25.5,70.4,100.0,120.0,47.5
712,Grace Ryba,F,Wraps,20.5,73.89,156.49,188.24,90.72
715,Bianca de Leon,F,Raw,20.5,65.9,83.9,108.9,52.2
730,Larissa Vordick,F,Single-ply,16.5,76.0,105.0,125.0,60.0
735,Lindsey Parlin,F,Raw,31.5,73.0,107.5,150.0,65.0
737,Sara Vero,F,Raw,27.0,50.4,75.0,125.0,62.5
738,Thi Truong,F,Wraps,23.0,47.9,92.5,130.0,45.0
739,Lauren Parrinello,F,Wraps,24.0,66.3,140.0,162.5,77.5
740,Alissa Gietema,F,Raw,36.0,76.4,90.0,102.5,50.0
741,Michelle Sothen,F,Raw,46.0,73.9,160.0,182.5,107.5
751,Halina Fonseca,F,Wraps,25.0,59.7,110.0,152.5,65.0
756,Ramona Penland,F,Raw,43.0,61.7,72.5,102.5,47.5
763,Krishelle Greentree,F,Raw,23.5,150.0,95.0,132.5,75.0
769,Carol Brady,F,Single-ply,64.5,62.34,110.0,112.5,67.5
771,Amanda Martin,F,Raw,21.5,122.0,152.5,150.0,75.0
775,Sarah Butcher,F,Raw,61.5,55.77,85.0,112.5,45.0
776,Tracy Hu,F,Raw,21.5,56.1,85.0,127.5,50.0
777,Donna Adams,F,Raw,44.5,83.6,137.5,160.0,82.5
778,Erika Szanto,F,Raw,37.5,55.86,120.0,162.5,70.0
780,Rebekah Lair,F,Single-ply,34.0,81.4,170.0,152.5,95.0
781,Yi-Ju Chou,F,Single-ply,33.5,49.78,155.0,192.5,75.0
784,Nicole Maalouf,F,Raw,21.5,74.19,132.5,147.5,90.0
789,Lisa Miller,F,Raw,22.5,46.8,67.5,80.0,37.5
794,Cali Nguyen,F,Raw,24.0,57.65,100.0,105.0,37.5
798,Susan Wilson,F,Raw,50.5,83.03,110.0,137.5,65.0
800,Suzanne Davis,F,Raw,42.0,54.34,102.5,170.0,65.0
803,Alison Behnke,F,Raw,35.5,69.54,130.0,132.5,80.0
805,Courtney Mikl,F,Raw,28.5,66.8,112.5,147.5,65.0
806,Louise Sutton,F,Raw,51.5,56.7,85.0,112.5,50.0
809,Julia Tucker,F,Raw,27.0,67.31,107.5,130.0,57.5
815,Layla Balduino,F,Single-ply,21.5,56.84,157.5,157.5,82.5
817,Amy Hapgood,F,Wraps,25.0,75.0,172.5,195.0,102.5
820,Ashley Szczepaniec,F,Raw,29.0,78.4,147.5,170.0,80.0
821,Christine Owens,F,Wraps,26.0,63.9,92.5,110.0,57.5
825,Allie Bickford,F,Raw,22.0,59.7,95.0,120.0,50.0
830,Bonica Lough,F,Single-ply,28.5,130.97,310.5,247.5,205.0
832,Nicole Herrmann,F,Raw,30.0,58.7,102.5,125.0,52.5
833,Jessica Barnes,F,Raw,23.5,62.3,72.5,92.5,42.5
834,Bronwen Blunt,F,Raw,30.0,78.3,145.0,190.0,87.5
835,Catherine Greene,F,Raw,31.5,69.3,155.0,160.0,77.5
837,Olivia Persinger,F,Raw,19.0,95.3,97.5,105.0,52.5
840,Kelli Duren,F,Raw,25.0,65.41,127.5,165.0,57.5
843,Isabella Devetak,F,Raw,17.5,70.7,130.0,142.5,72.5
845,Thana Dickens,F,Raw,24.5,55.8,125.0,152.5,70.0
849,Robin Berner,F,Raw,53.0,61.14,82.5,132.5,57.5
856,Sierra Cabasag,F,Raw,30.0,111.2,140.0,197.5,75.0
859,Alicia Webb,F,Raw,43.5,83.12,187.5,200.0,110.0
860,Veronica Aguila,F,Single-ply,22.0,59.2,147.5,147.5,72.5
861,Rachel Maak,F,Raw,31.0,67.5,107.5,132.5,65.0
862,Andrea McCall,F,Raw,39.0,93.4,70.0,107.5,52.5
863,Angie Nichols,F,Wraps,35.0,55.93,82.5,97.5,40.0
865,Samantha Pain,F,Raw,28.0,72.02,132.5,135.0,65.0
867,Phantavanh Outhavong,F,Raw,34.5,70.81,137.5,160.0,72.5
868,Cindy Meeker,F,Wraps,54.0,66.0,102.5,142.5,62.5
869,Leah DeCesare,F,Raw,27.5,45.5,107.5,115.0,67.5
871,Patricia Cayton,F,Raw,43.0,82.8,122.5,147.5,65.0
872,Allison Schuh,F,Raw,23.0,59.7,110.0,122.5,57.5
875,Carey Boyce,F,Wraps,38.0,67.1,170.0,182.5,95.0
881,Lindsey Crain,F,Wraps,35.0,111.4,117.93,136.08,74.84
882,Kelly Lenahan,F,Raw,27.5,70.5,142.5,182.5,77.5
888,Farah Christine Bartlett,F,Raw,19.0,74.8,140.0,165.0,70.0
889,Sarah Dooley,F,Raw,37.0,71.5,127.5,140.0,62.5
893,Athena Roa,F,Raw,18.0,57.5,87.5,110.0,50.0
896,Rachel Hassall,F,Raw,30.5,57.0,120.0,132.5,67.5
898,Gina Schmidtlein,F,Wraps,22.0,67.2,115.0,137.5,60.0
900,Adyson Perhonitch,F,Raw,14.5,121.64,145.0,132.5,92.5
902,Ana Perez,F,Raw,33.0,89.7,182.5,212.5,95.0
904,Carrie O'Brien,F,Raw,40.0,67.3,80.0,100.0,45.0
907,Monica Eng,F,Raw,22.0,51.44,110.0,122.5,47.5
909,Disa Hatfield,F,Single-ply,33.5,66.98,187.5,197.5,140.0
913,Priscilla Ribic,F,Single-ply,44.5,69.94,235.0,240.0,160.0
918,Kimbley Lau,F,Raw,28.0,64.82,105.0,145.0,52.5
922,Satu Pylvas,F,Raw,22.5,56.6,130.0,176.5,82.5
925,Kristi Rothbardt,F,Wraps,25.0,119.29,47.5,92.5,42.5
929,Alicia Wise,F,Raw,30.5,55.15,87.5,120.0,62.5
933,Ashley Orth,F,Wraps,21.0,59.5,82.5,127.5,52.5
934,Grace Chang,F,Raw,26.5,49.0,92.5,85.0,42.5
936,Cassi Gill,F,Raw,33.5,80.9,120.0,152.5,52.5
937,Siobhan Cotterell,F,Raw,33.5,96.5,100.0,130.0,55.0
939,Rachel Pederson,F,Raw,30.5,80.6,131.5,174.6,65.8
940,Larissa Perkins,F,Raw,22.5,52.77,90.0,105.0,45.0
942,Marilu Solares,F,Raw,21.5,47.0,110.0,135.0,57.5
949,Nadège Arnoud,F,Raw,22.5,56.55,112.5,137.5,62.5
952,Teresa Olcomendy,F,Raw,55.0,87.3,115.0,120.0,60.0
953,Samantha Bolletino,F,Raw,20.0,65.8,117.5,127.5,65.0
964,Meagan Lee,F,Wraps,27.0,85.96,122.5,117.5,50.0
966,Susan Tate,F,Raw,37.0,88.1,147.5,167.5,97.5
969,Jenny Dewar,F,Raw,34.0,71.73,140.0,150.0,77.5
970,Edith Aromando,F,Raw,22.5,68.8,110.0,155.0,62.5
975,Virginia Chiu,F,Raw,23.5,61.8,112.5,172.5,72.5
979,Marlena Gabriel,F,Raw,26.5,71.25,145.0,180.0,80.0
984,Shawn Rolland,F,Wraps,43.0,61.01,57.5,85.0,55.0
989,Gretchen Kalk,F,Single-ply,22.0,78.05,137.5,162.5,80.0
990,Claire McKenzie,F,Single-ply,22.5,83.39,237.5,217.5,155.0
991,Olga Gemaletdinova,F,Single-ply,28.5,115.39,285.0,240.0,180.0
992,Marian Gibson,F,Single-ply,43.5,66.44,182.5,192.5,130.0
993,June Maloney,F,Raw,26.5,60.6,105.0,130.0,60.0
996,Roxanne Lord,F,Raw,60.5,85.4,112.5,120.0,52.5
1001,Emilie Patino,F,Raw,16.0,55.1,67.5,80.0,37.5
1004,Bianca Angulo,F,Raw,24.0,66.4,97.5,100.0,52.5
1009,Rebecca Ralston,F,Raw,64.5,51.84,57.5,92.5,40.0
1011,Melissa Vargas,F,Raw,21.5,65.3,105.0,107.5,50.0
1019,Sommer Binash,F,Single-ply,19.0,51.7,137.5,125.0,67.5
1024,Danielle Munoz,F,Raw,21.0,78.2,102.5,147.5,57.5
1026,Jaime Miller,F,Wraps,36.0,54.7,110.0,130.0,65.0
1028,Laymomi Kaahu,F,Raw,38.0,80.0,138.0,195.0,82.5
1029,Janet Stewart,F,Single-ply,18.0,142.5,167.5,217.5,75.0
1031,Mune van Luen,F,Raw,39.5,51.54,125.0,127.5,62.5
1033,Nicole Myers,F,Raw,37.0,79.4,125.0,162.5,75.0
1036,Melissa Fulgencio,F,Raw,31.0,51.3,105.0,147.5,60.0
1037,Rebecka Cook,F,Single-ply,16.0,132.4,232.5,205.0,97.5
1043,Matthildur Oskarsdottir,F,Raw,15.5,64.8,120.0,125.0,67.5
1045,Lily Goodyear-Sait,F,Raw,21.5,74.76,100.0,130.0,52.5
1046,Angelique Bhalla-Juarez,F,Raw,28.5,86.3,97.5,107.5,45.0
1051,Ana Malagon,F,Raw,21.0,63.78,115.0,165.0,65.0
1057,Sunniva Vigdal,F,Raw,22.0,63.0,80.0,100.0,45.0
1065,Crystal Mathis,F,Raw,35.0,78.25,70.0,70.0,47.5
1068,Melissa Copeland,F,Raw,35.0,109.6,182.5,177.5,92.5
1074,Regina Schmidtlein,F,Wraps,23.0,73.3,120.0,147.5,62.5
