,Name,Sex,Equipment,Age,BodyweightKg,BestSquatKg,BestDeadliftKg,BestBenchKg
100,Robert Currie,M,Raw,23.0,95.44,205.0,272.5,142.5
101,Bart Moffitt,M,Raw,26.0,98.5,182.5,195.0,130.0
102,Andrew King,M,Wraps,19.0,147.05,295.02,272.52,227.52
103,Sam Bowles,M,Wraps,22.0,67.22,149.69,204.12,108.86
105,Marcus Midkiff,M,Wraps,31.0,74.57,167.83,231.33,122.47
106,William Moore,M,Wraps,35.0,78.02,165.56,206.38,111.13
108,Don McKinney,M,Raw,54.5,120.1,230.0,245.0,167.5
110,Corey Fleagle,M,Wraps,31.0,89.3,247.5,297.5,167.5
111,Chip Holston,M,Raw,42.0,97.5,260.0,272.5,165.0
113,Ross Buckwalter,M,Raw,27.5,92.85,230.0,272.5,127.5
114,Neil Shah,M,Raw,24.0,79.5,152.5,217.5,105.0
115,Charlie Krause,M,Wraps,57.0,133.81,182.5,215.0,135.0
117,Nygil Chamber,M,Raw,36.0,127.5,192.5,210.0,190.0
119,Roy Hegge,M,Raw,63.0,97.07,165.0,190.0,117.5
121,Logan Rogers,M,Single-ply,18.5,92.1,285.0,287.5,172.5
123,Xiang-Ting Fu,M,Raw,21.5,87.3,182.5,242.5,125.0
124,Jaimie Clarke,M,Raw,31.5,57.85,85.0,160.0,97.5
125,Andrey Kirindyasov,M,Wraps,27.0,96.5,245.0,230.0,175.0
127,Arturs Paikis,M,Raw,25.5,104.35,250.0,290.0,160.0
130,Denny Chung,M,Single-ply,20.5,73.9,210.0,250.0,125.0
131,Erik Røen,M,Raw,20.5,133.71,297.5,322.5,187.5
132,Jordan Leong,M,Wraps,21.0,66.3,152.5,220.0,100.0
133,Alfred Jong,M,Raw,31.5,58.76,172.5,222.5,110.0
137,Andreas Hjelmtveit,M,Single-ply,31.5,110.95,395.0,375.0,235.0
138,Jun Furukawa,M,Raw,18.5,81.72,230.0,275.0,120.0
139,Christian Flores,M,Single-ply,16.5,55.9,117.5,137.5,67.5
141,Franklin Leon,M,Single-ply,33.5,59.25,280.0,235.0,177.5
142,Francesco Catalano,M,Wraps,22.0,90.0,233.6,254.01,170.1
143,Dallas White,M,Raw,31.0,72.4,175.0,220.0,122.5
144,Ivan Michael Legaspi,M,Wraps,22.0,66.4,167.5,190.0,100.0
145,Joseph Millslagle,M,Raw,31.0,95.5,200.0,280.0,182.5
147,John Nocito,M,Single-ply,22.0,74.0,200.0,215.0,142.5
148,Jesse Shelton,M,Raw,29.0,81.5,185.0,215.0,145.0
149,An Vu,M,Raw,18.0,59.8,105.0,142.5,72.5
150,Al Serna,M,Raw,23.0,65.23,167.5,160.0,120.0
151,Andrew Loulanting,M,Raw,20.5,101.5,207.5,255.0,132.5
153,Lincoln Grant,M,Wraps,30.0,96.8,255.0,295.0,130.0
155,Jadynn Mendez,M,Wraps,14.0,64.8,110.0,137.5,62.5
157,Brian Irmiter,M,Wraps,27.0,100.0,237.5,242.5,182.5
160,Brandon Davis,M,Raw,17.0,100.0,142.88,183.7,111.13
162,Ken Alexander,M,Raw,58.0,80.8,137.5,165.0,75.0
163,Clancy Jones,M,Raw,30.5,136.3,190.0,240.0,162.5
164,Collin Wilson,M,Raw,17.0,134.1,195.0,222.5,125.0
166,Kevin Koch,M,Single-ply,35.5,160.8,370.0,290.0,352.5
167,Josh Ballou,M,Raw,36.5,101.8,197.5,220.0,160.0
168,Andrew Shuman,M,Raw,15.0,88.3,155.0,187.5,90.0
169,Andrew Syvertsen,M,Wraps,20.0,86.2,175.0,202.5,97.5
170,Aleksandr Kozhevnikov,M,Wraps,24.0,108.5,250.0,240.0,190.0
172,Matt Middleton,M,Wraps,29.0,102.6,302.5,300.0,202.5
173,Nate Bush,M,Raw,19.5,102.9,220.0,272.5,132.5
175,Henrique Sinihur,M,Raw,22.5,119.34,285.0,285.0,167.5
180,RB Hayes,M,Raw,36.0,120.0,225.0,240.0,125.0
186,Odell Manuel,M,Wraps,37.0,150.9,430.0,400.0,245.0
189,Mark Chieco,M,Raw,38.0,98.4,260.0,250.0,222.5
190,Kyle DePew,M,Raw,16.0,110.0,155.0,205.0,105.0
192,Andrew Parsons,M,Wraps,26.0,89.5,255.0,272.5,171.0
193,John Roy,M,Raw,32.5,90.6,170.0,205.0,122.5
199,Joseph Gast,M,Raw,22.0,80.5,147.5,227.5,100.0
200,Russell Clark,M,Single-ply,53.5,91.9,280.0,282.5,190.0
201,Brad Cikana,M,Single-ply,30.0,135.62,282.5,255.0,252.5
202,Clifton Braun,M,Wraps,28.0,111.67,160.0,175.0,90.0
203,Sergey Gladkikh,M,Single-ply,19.5,66.8,290.0,280.0,195.0
204,Davy Capriles,M,Wraps,18.0,107.2,245.0,230.0,185.0
205,Mihir Kamani,M,Raw,23.0,97.4,212.5,275.0,142.5
207,Brett Carruthers,M,Wraps,29.0,80.3,195.0,220.0,125.0
208,Fabian Oseguera,M,Wraps,17.0,90.08,120.0,150.0,102.5
209,Nicholas Griepentrog,M,Raw,38.5,152.65,230.0,232.5,140.0
210,Tom Kane,M,Wraps,27.0,118.2,310.0,305.0,182.5
211,Jason Sickels,M,Raw,19.5,100.7,240.0,225.0,160.0
212,Joe Kelty,M,Raw,56.0,86.9,150.0,162.5,97.5
213,Thomas Arrington,M,Single-ply,75.0,112.3,185.0,182.5,142.5
215,Christian Kennedy,M,Raw,28.5,118.35,217.5,245.0,120.0
216,David Brekke,M,Single-ply,42.0,79.92,142.5,190.0,105.0
219,Dawson Hall,M,Raw,22.5,119.8,257.5,285.0,167.5
220,Jason Cacho,M,Raw,21.5,65.7,105.0,175.0,80.0
221,Tavita Lipine,M,Raw,59.5,109.1,300.0,280.0,160.0
225,Tyler Trent,M,Wraps,21.0,81.74,182.5,212.5,137.5
226,Mike Effner,M,Raw,31.5,91.69,210.0,230.0,172.5
228,Aderire Fakorede,M,Raw,20.0,123.8,27.5,287.5,162.5
229,Ian Henderson,M,Wraps,26.0,98.7,250.0,245.0,150.0
230,Justin Hunter,M,Wraps,28.0,89.6,225.0,300.0,152.5
231,Nick Cambero,M,Raw,25.0,78.11,220.0,240.0,142.5
233,Channing Doyle,M,Wraps,27.0,94.62,285.0,305.0,172.5
235,James Frecklington,M,Raw,21.5,91.44,230.0,275.0,137.5
237,Joseph Williams,M,Raw,31.0,95.4,205.0,272.5,152.5
238,Tim Mugglestone,M,Raw,25.5,91.1,197.5,217.5,117.5
239,Ron Pagal,M,Single-ply,67.0,105.32,210.0,210.0,160.0
241,Mathew Gorle,M,Wraps,24.0,82.4,177.5,187.5,112.5
244,Daryl Carlin,M,Raw,15.0,90.0,142.88,183.7,131.54
246,Mike Knickrehm,M,Raw,61.0,130.2,92.5,152.5,80.0
249,Thad Harless,M,Wraps,40.0,133.9,322.5,277.5,205.0
250,Michael Polis,M,Wraps,23.0,73.39,151.95,192.78,127.01
252,Nicolas Skaarup,M,Raw,26.5,119.0,255.0,275.0,195.0
254,Manjot Jassal,M,Raw,19.5,92.2,172.5,230.0,105.0
256,Justin Graalfs,M,Multi-ply,33.0,120.38,477.5,350.0,317.5
257,Sukh-Ochir Yura,M,Raw,46.5,92.54,205.0,262.5,60.0
258,Greg Norby,M,Wraps,22.0,80.4,260.0,242.5,170.0
259,Alex Berg,M,Raw,20.0,59.6,165.0,190.0,120.0
260,Derek Dickinson,M,Raw,28.0,98.93,265.0,297.5,195.0
261,Chris Boette,M,Raw,34.0,86.7,155.0,185.0,92.5
263,Erik Zepeda,M,Raw,18.0,63.28,107.5,140.0,90.0
264,Brad Kretch,M,Wraps,58.0,122.79,257.5,292.5,117.5
265,Joshua Masterson,M,Raw,23.0,150.6,240.0,265.0,160.0
267,Adam Beck,M,Raw,19.5,63.9,160.0,175.0,95.0
270,Mike Tiktinsky,M,Raw,68.0,86.9,117.5,137.5,95.0
271,Noah Ancheta,M,Raw,23.0,66.1,205.0,240.0,147.5
273,Jan Bast,M,Single-ply,35.5,91.99,315.0,300.0,270.0
275,Josh Felix,M,Wraps,30.0,87.1,182.5,235.0,117.5
277,Jonathan Allen,M,Raw,24.5,80.0,132.5,167.5,92.5
279,Drew Detmers,M,Wraps,24.0,132.1,237.5,272.5,130.0
280,Michael Butler,M,Wraps,21.0,98.07,210.0,230.0,137.5
281,Dillion Bibo,M,Wraps,22.0,96.8,250.0,287.5,152.5
284,Peter Vestas,M,Wraps,19.0,73.2,132.5,167.5,92.5
286,Luke Dreier,M,Wraps,30.0,119.4,300.0,330.0,187.5
287,Jean-Paul Belmas,M,Raw,64.5,98.35,200.0,200.0,100.0
288,Jared Theriault,M,Raw,22.5,79.12,190.0,212.5,132.5
289,David Decouleur,M,Raw,43.5,81.6,215.0,265.0,125.0
291,Matthew Treherne,M,Raw,27.5,91.38,270.0,312.5,165.0
292,Josh Goodman,M,Raw,36.0,108.86,183.7,226.8,145.15
294,Aaron Morekin,M,Raw,22.0,81.47,142.88,163.29,113.4
297,Ville Suominen,M,Wraps,34.0,107.9,330.0,320.0,185.0
298,Rafael González,M,Raw,18.5,88.27,202.5,225.0,142.5
300,Joseph Craft,M,Raw,27.0,119.5,257.5,255.0,197.5
301,Brodie Besler,M,Raw,18.5,147.1,260.0,240.0,145.0
306,Jervis Penn,M,Raw,46.0,134.68,155.0,227.5,155.0
307,Kevin Chou,M,Raw,23.0,93.6,260.0,265.0,152.5
308,Chance Cianciola,M,Raw,30.0,80.9,182.5,240.0,137.5
309,Frankie Murrieta,M,Wraps,34.0,66.86,182.5,215.0,132.5
310,Parker Duckworth,M,Raw,27.0,73.3,165.0,187.5,100.0
312,Sergio Guevara,M,Raw,21.0,92.7,147.5,220.0,107.5
313,Jean-Luc Collart,M,Single-ply,52.5,118.95,350.0,295.0,220.0
314,Zach Roberts,M,Raw,29.0,82.37,155.0,195.0,120.0
315,Samuel Johnson,M,Single-ply,21.5,102.8,235.0,240.0,167.5
316,Cesar Galvan,M,Raw,29.0,73.0,135.0,185.0,92.5
318,Zdeno Briš,M,Wraps,23.0,73.95,180.0,220.0,127.5
319,Cesar Trinidad,M,Raw,23.0,66.7,137.5,175.0,90.0
320,Jonathan Mead,M,Raw,19.5,100.03,237.5,260.0,142.5
321,Massimiliano Buccioni,M,Single-ply,39.5,82.67,305.0,290.0,187.5
323,Juan Sanchez,M,Raw,25.5,74.0,190.0,227.5,122.5
324,Zachary Rollar,M,Raw,21.5,80.0,175.0,212.5,120.0
325,Donald Rogers,M,Raw,24.5,92.1,247.5,305.0,150.0
330,Quinton Bagayas,M,Single-ply,29.0,107.2,287.5,255.0,170.0
332,Saeid Sharifisedeh,M,Raw,28.5,82.1,240.0,255.0,167.5
333,Steve Jellett,M,Wraps,27.0,89.5,240.0,255.0,135.0
335,Vinny Porcelli,M,Raw,20.0,94.1,172.5,205.0,105.0
338,Albert Lopez,M,Raw,49.5,99.5,227.5,262.5,157.5
340,Mike Mason,M,Raw,25.0,57.61,172.37,201.85,102.06
341,Rafael Wilson,M,Raw,31.0,89.9,200.0,207.5,137.5
342,Mikey Mitchell,M,Wraps,15.0,71.85,154.22,181.44,90.72
343,Keith Kanemoto,M,Single-ply,48.0,87.63,277.5,255.0,220.0
344,Eric Gundrum,M,Raw,27.0,106.3,245.0,280.0,190.0
345,Jonathan Seymour,M,Raw,50.5,99.55,227.5,235.0,155.0
347,Richard Neumann,M,Raw,61.0,89.4,147.5,187.5,112.5
348,Anthony Brandon,M,Raw,24.0,97.3,195.0,227.5,127.5
350,Josef Maier,M,Raw,26.0,89.6,190.0,220.0,142.5
351,Qua Scott,M,Raw,28.0,109.55,255.0,260.0,187.5
354,Jesse Stevenson,M,Raw,24.5,81.9,177.5,225.0,110.0
355,Riccardo Duldulao,M,Raw,23.5,69.22,167.5,237.5,130.0
356,Ervin Gainer,M,Single-ply,33.5,51.5,190.0,217.5,125.0
357,Stirling Mason,M,Raw,24.5,81.8,150.0,205.0,125.0
358,James Rhoads,M,Wraps,27.0,98.2,200.0,237.5,150.0
359,Audunn Jonsson,M,Single-ply,36.5,142.2,385.0,355.0,250.0
360,Ruben Ramirez,M,Wraps,20.0,89.63,265.0,272.5,147.5
361,Anthony Hobaica,M,Raw,28.0,81.01,282.5,295.5,210.0
362,Lee Yang,M,Raw,22.5,66.0,157.5,162.5,107.5
363,Dustin Peters,M,Single-ply,19.0,110.0,195.0,242.5,150.0
366,Ruben Garcia,M,Wraps,24.0,90.81,212.5,220.0,125.0
367,Brent Delgado,M,Raw,23.0,97.9,250.0,300.0,177.5
368,Corey Deutsch,M,Raw,26.5,91.2,197.5,230.0,127.5
369,Randy Sue,M,Raw,21.0,89.1,220.0,225.0,147.5
372,Khalid Khalil,M,Wraps,23.0,96.98,187.5,237.5,120.0
375,Ivan Vers,M,Raw,22.5,63.2,162.5,195.0,120.0
377,Scott Young,M,Wraps,40.0,143.29,249.48,276.69,154.22
378,Chase Noll,M,Raw,33.0,105.0,207.5,252.5,152.5
379,Eric Leitman,M,Wraps,26.0,94.17,275.0,287.5,167.5
381,William Gogolla,M,Single-ply,18.5,73.85,220.0,245.0,110.0
384,Glen Pfleegor Jr,M,Wraps,17.5,59.24,90.72,129.27,49.9
386,Tyler Branch,M,Wraps,22.0,113.45,240.0,272.5,145.0
389,Mark Danyluk,M,Raw,49.0,153.3,182.5,227.5,230.0
390,Joel Keleher,M,Raw,25.5,90.55,165.0,197.5,127.5
391,Gage Peterson,M,Wraps,12.0,75.0,150.0,147.5,75.0
392,Chance Cole,M,Raw,17.5,85.0,165.0,195.0,90.0
393,Michael Womeldorf,M,Wraps,57.0,96.43,125.0,155.0,117.5
394,Max Bristow,M,Single-ply,72.5,67.15,100.0,160.0,67.5
395,Howard Winegarden,M,Single-ply,51.0,110.7,212.5,205.0,205.0
396,James Lorian,M,Raw,25.5,109.7,230.0,277.5,150.0
398,Cody Schoppe,M,Wraps,28.0,107.68,142.5,170.0,112.5
402,Anthony Kilgore,M,Single-ply,17.0,90.0,151.95,192.78,102.06
404,Benjamin Banks,M,Single-ply,23.5,109.64,300.0,322.5,240.0
405,Tamio Yasui,M,Single-ply,72.5,76.04,145.0,150.0,117.5
406,Carlos Ochoa,M,Raw,22.5,160.3,210.0,230.0,130.0
407,Abia-Imo Roberts,M,Raw,34.0,95.07,137.5,225.0,127.5
408,Kellen Tolle,M,Raw,11.0,47.9,77.5,107.5,40.0
409,Travis Hall,M,Raw,22.5,80.4,185.0,215.0,115.0
410,Aleksandr Dushkin,M,Raw,19.0,67.0,157.5,165.0,107.5
412,Sean Brownstein,M,Raw,26.0,108.9,292.5,232.5,205.0
414,Jordan Larson,M,Raw,21.5,82.2,177.5,205.0,95.0
415,Manuel Montion,M,Raw,30.0,100.0,210.0,215.0,107.5
416,Roy Taylor,M,Single-ply,66.0,87.3,142.5,205.0,77.5
417,Abraham Ramirez,M,Raw,19.5,73.4,207.5,235.0,145.0
419,Anthony Krznar,M,Raw,21.5,128.55,295.0,302.5,170.0
420,Zachary Chokr,M,Raw,21.0,82.1,210.0,250.0,165.0
421,Dex Nepomuceno,M,Raw,26.0,82.5,212.5,242.5,150.0
422,Cedrick Paulli,M,Raw,17.5,95.2,170.0,195.0,135.0
424,Jan Wegiera,M,Single-ply,48.5,91.48,360.0,292.5,290.0
426,Tyler Sahm,M,Single-ply,17.5,82.2,210.0,240.0,120.0
427,Michael Villanueva,M,Raw,31.0,96.3,215.0,220.0,115.0
428,Robert Johnson,M,Raw,28.0,163.9,217.5,200.0,110.0
429,Eddie Avakoff,M,Raw,26.0,67.49,115.0,177.5,95.0
430,Philip Sawicki,M,Raw,20.5,81.2,192.5,217.5,130.0
431,Mike Misorski,M,Single-ply,17.5,110.0,227.5,207.5,102.5
436,Joshua Jaggers,M,Single-ply,23.0,97.34,272.5,287.5,245.0
437,Fred Fischer,M,Multi-ply,62.0,115.89,260.82,192.78,170.1
438,Alexander Kish,M,Raw,21.5,111.6,195.0,240.0,155.0
439,David Tran-Cong,M,Multi-ply,30.0,93.2,310.0,260.0,215.0
440,Frank Oben,M,Raw,24.0,80.5,215.0,282.5,145.0
441,Alan Aerts,M,Single-ply,51.0,123.65,140.0,235.0,210.5
442,Carlos Vazquez,M,Wraps,31.0,73.5,100.0,132.5,75.0
443,Jahi Jones,M,Raw,35.0,127.7,210.0,242.5,102.5
445,Jin Kim,M,Raw,20.5,81.6,202.5,250.0,137.5
447,Shiv Dadlani,M,Raw,29.5,82.3,210.0,217.5,132.5
448,Peter Li,M,Raw,23.5,71.4,215.0,240.0,140.0
449,Victor Cabali,M,Raw,23.0,74.0,195.0,242.5,137.5
450,Mirko Keković,M,Wraps,20.5,89.4,235.0,247.5,170.0
452,Derek Murphy,M,Single-ply,17.5,59.1,162.5,172.5,107.5
453,Glenn Baggett,M,Wraps,44.0,121.5,312.5,295.0,200.0
454,Igor Shapovalov,M,Wraps,18.0,87.3,210.0,220.0,130.0
455,Marcus Naillon,M,Raw,17.5,72.25,145.0,190.0,95.0
456,Austin Burgess,M,Single-ply,17.0,90.0,142.88,156.49,74.84
457,Nelson Sitsile,M,Raw,22.5,89.35,232.5,290.0,132.5
462,Heath Little,M,Raw,42.0,102.25,220.0,250.0,157.5
465,Bryan Espinoza,M,Raw,22.0,107.0,220.0,260.0,132.5
466,Desean Prosser,M,Raw,42.5,78.6,113.4,165.6,113.4
468,Jake Grifford,M,Raw,21.0,110.55,302.5,325.0,157.5
471,Marvin House,M,Wraps,25.0,108.8,240.0,250.0,145.0
472,Gerald W. Jake Burke,M,Raw,68.0,108.3,167.5,160.0,142.5
473,Thadeus Stevenson,M,Single-ply,20.5,97.7,210.0,230.0,147.5
474,Sam Mcinnes,M,Raw,19.5,77.8,145.0,200.0,115.0
475,Mykola Mekh,M,Raw,66.5,109.27,175.0,220.0,140.0
477,Kirill Krut,M,Single-ply,25.5,58.26,245.0,247.5,162.5
478,KP Musgrove,M,Wraps,41.0,134.0,230.0,230.0,197.5
479,Louis Camassa,M,Wraps,30.0,89.18,210.0,247.5,137.5
480,John Sailer,M,Wraps,45.0,94.26,157.5,165.0,137.5
481,Swindell Autry,M,Single-ply,35.5,81.8,290.0,280.0,147.5
482,Markus Suomela,M,Raw,21.5,103.15,232.5,312.5,177.5
483,Marcus Galvan,M,Raw,33.0,98.0,162.5,187.5,105.0
484,Gordon Santee,M,Raw,67.0,63.68,65.0,155.5,80.5
485,Glenn Wright,M,Raw,54.5,66.0,163.0,195.0,92.5
486,Matt Holbert,M,Raw,37.0,108.77,227.5,257.5,167.5
487,Joe Theisen,M,Raw,51.5,122.79,204.1,229.1,154.2
488,Charles Grimsley,M,Raw,25.0,132.9,292.5,315.0,182.5
489,Yauheni Kautsevich,M,Raw,27.5,82.25,240.0,272.5,160.0
491,Kamuela Wassman,M,Raw,25.0,122.29,227.5,267.5,167.5
496,Jovani Maguregui,M,Wraps,26.0,74.9,175.0,217.5,125.0
497,Ryan Seitz,M,Raw,36.0,90.0,172.5,207.5,130.0
498,Vicente Apodaca,M,Wraps,26.0,108.7,162.5,227.5,140.0
500,Daniel Inderwisch,M,Wraps,38.0,78.0,175.0,200.0,150.0
501,Julian Gutierrez,M,Wraps,27.0,95.16,182.5,220.0,125.0
502,Trent Nguyen,M,Wraps,38.0,74.9,185.0,225.0,135.0
505,Jeremy Helmick,M,Wraps,23.0,80.7,160.0,190.0,127.5
506,Brandon Stout,M,Wraps,19.0,122.7,250.0,250.0,150.0
507,Steve Heinmiller,M,Raw,26.0,94.0,225.0,232.5,167.5
508,Guy Le Page,M,Raw,49.5,111.35,175.0,210.0,157.5
509,William Richards,M,Raw,23.0,136.5,27.5,340.0,220.0
510,Kenrick McClain,M,Raw,38.5,80.6,197.5,260.0,147.5
512,Alexander Karpenko,M,Raw,31.5,92.25,252.5,300.0,205.0
513,Walter Gómez,M,Raw,26.5,58.84,180.0,215.0,127.5
514,Brent Bevan,M,Wraps,27.0,88.8,250.0,245.0,160.0
516,Brian Weddick,M,Raw,27.0,71.3,150.0,182.5,80.0
518,John Hare,M,Multi-ply,55.0,87.2,307.5,260.0,210.0
519,Sune Bak,M,Single-ply,41.5,104.42,332.5,315.0,250.0
520,Gene Lawrence,M,Raw,75.0,107.8,97.5,142.5,95.0
521,Irakli Mdivnishvili,M,Raw,31.5,72.2,200.0,247.5,162.5
522,Austyn Ryan,M,Raw,22.5,104.18,270.0,275.0,182.5
524,John Borek,M,Raw,51.0,107.95,205.0,205.0,172.5
525,Dustin Farrow,M,Single-ply,35.5,82.4,265.0,280.0,170.0
526,Ladislav Pribilik,M,Single-ply,21.5,73.68,240.0,255.0,152.5
527,Brian Davis,M,Wraps,34.0,74.1,130.0,195.0,125.5
529,Mark Allen,M,Raw,28.5,98.1,200.0,212.5,137.5
530,Justin Largo,M,Raw,17.0,107.65,182.5,210.0,92.5
531,Sergii Bilyi,M,Single-ply,22.5,90.16,352.5,325.0,275.0
532,Trenton Dammann,M,Raw,31.5,107.6,182.5,207.5,135.0
533,Liam Miller,M,Wraps,19.0,97.7,217.5,217.5,122.5
535,Jeff Wong,M,Raw,34.0,76.6,130.0,122.5,80.0
536,Omed Baher,M,Raw,26.0,88.6,187.5,227.5,122.5
538,Alex Maske,M,Wraps,27.0,109.1,272.5,272.5,155.0
539,Karl Davenport,M,Raw,46.0,105.87,195.0,215.0,122.5
542,David Paulzine,M,Wraps,38.0,123.4,200.0,235.0,170.0
543,Cormac Walsh,M,Wraps,22.0,103.4,242.5,255.0,147.5
549,Diego Corr,M,Wraps,35.5,82.21,226.8,258.55,161.03
551,Andrew Rogers,M,Raw,27.5,115.8,160.0,207.5,77.5
553,Robbie Hyde,M,Raw,26.5,91.9,235.0,252.5,140.0
555,Alexander Offord,M,Raw,32.0,75.07,155.0,155.0,82.5
556,Alex Mills,M,Raw,41.0,129.77,182.5,227.5,115.0
557,Lawrence Allenger,M,Single-ply,34.0,104.55,200.0,250.0,175.0
559,Ismael Hernandez,M,Wraps,36.0,107.0,290.0,290.0,197.5
560,Ken Fasulo,M,Single-ply,38.0,78.47,192.44,204.91,154.9
563,Andrzej Wozniak,M,Raw,16.5,106.59,220.0,220.0,115.0
564,Richard Squires,M,Raw,18.5,124.9,152.5,150.0,90.0
565,Neyland Fendley,M,Wraps,14.0,134.17,182.5,207.5,97.5
566,Weixun Ren,M,Raw,16.5,72.8,157.5,170.0,95.0
567,Stanley Cabanas,M,Raw,23.0,73.9,172.5,248.0,102.5
568,Calvin Titus,M,Raw,50.5,96.84,220.0,242.5,177.5
571,Bryson Chaisson,M,Single-ply,20.5,101.7,237.5,235.0,155.0
572,Russell Cruz,M,Raw,28.0,82.5,182.5,215.0,115.0
573,Isaac Miller,M,Raw,20.0,74.84,217.5,207.5,152.5
575,Marc Sturdivant,M,Raw,40.0,85.64,187.5,205.0,120.0
578,Bill Clancy,M,Raw,26.5,91.25,200.0,215.0,120.0
579,Jason Bartlett,M,Raw,32.5,113.7,215.0,230.0,167.5
580,Lars John,M,Raw,36.0,87.82,187.5,235.0,110.0
581,Greg Blank,M,Raw,26.5,94.46,197.5,227.5,125.0
584,Cody Morrison,M,Raw,17.0,89.0,160.0,182.5,75.0
